# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
P1188,oldsmobile,EOT Sensor Circuit High Voltage
P1188,saturn,EOT Sensor Circuit High Voltage
P1188,volkswagen,Linear Oxygen Sensor Compensation Resistor Short To Ground
P1189,,Pump Speed Signal Fault
P1189,bmw,Fuel Control Bank 2 Sensor 1
P1189,buick,Engine Oil Pressure Switch Circuit
P1189,cadillac,Engine Oil Pressure Switch Circuit
P1189,chevy,Engine Oil Pressure Switch Circuit
P1189,chrysler,Engine Oil Pressure Switch Circuit
P1189,gm,Engine Oil Pressure Switch Circuit
P1189,gmc,Engine Oil Pressure Switch Circuit
P1189,jaguar,O2 Sensor Heater Circuit Low Resistance Fault 1
P1189,mazda,Pump Speed Signal
P1189,oldsmobile,Engine Oil Pressure Switch Circuit
P1189,saturn,Engine Oil Pressure Switch Circuit
P1189,volkswagen,Linear Oxygen Sensor Compensation Resistor Short To B+
P1190,,Calibration Resistor Out Of Range
P1190,bmw,Pre-Catalyst Fuel Trim System Bank 1
P1190,buick,Engine Vacuum Leak
P1190,cadillac,Engine Vacuum Leak
P1190,chevy,Engine Vacuum Leak
P1190,chrysler,Engine Vacuum Leak
P1190,gm,Engine Vacuum Leak
P1190,gmc,Engine Vacuum Leak
P1190,jaguar,O2 Sensor Heater Circuit Low Resistance Fault 2
P1190,oldsmobile,Engine Vacuum Leak
P1190,saturn,Engine Vacuum Leak
P1190,volkswagen,Linear Oxygen Sensor Reference Voltage Incorrect Signal
P1191,,Key Line Voltage
P1191,bmw,Pre-Catalyst Fuel Trim System Bank 2
P1191,buick,Intake Air Duct Air Leak
P1191,cadillac,Intake Air Duct Air Leak
P1191,chevy,Intake Air Duct Air Leak
P1191,chrysler,Intake Air Duct Air Leak
P1191,gm,Intake Air Duct Air Leak
P1191,gmc,Intake Air Duct Air Leak
P1191,jaguar,O2 Sensor Heater Circuit Open, HArdware Fault
P1191,mazda,TP Controlled Circuit
P1191,oldsmobile,Intake Air Duct Air Leak
P1191,saturn,Intake Air Duct Air Leak
P1192,,Voltage External
P1192,bmw,Post-Catalyst Fuel Trim System Bank 1
P1192,dodge,Inlet Air Temp Circuit Low
P1192,jaguar,O2 Sensor Heater Circuit Shorted
P1192,jeep,Inlet Air Temp. Circuit Low
P1192,plymouth,Inlet Air Temp Circuit Low
P1192,pontiac,Inlet Air Temp Circuit Low
P1193,,EGR Drive Overcurrent
P1193,bmw,Post-Catalyst Fuel Trim System Bank 2
P1193,dodge,Inlet Air Temp Circuit High
P1193,jaguar,O2 Sensor Heater Circuit Open, Inferred Fault
P1193,jeep,Inlet Air Temp. Circuit High
P1193,plymouth,Inlet Air Temp Circuit High
P1193,pontiac,Inlet Air Temp Circuit High
P1194,,ECU A/D Converter
P1194,dodge,Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194,jaguar,O2 Sensor Heater Circuit Resistance Fault
P1194,jeep,Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194,mazda,ECM PCM A D Converter
P1194,plymouth,Incorrect Or Irrational Performance Has Been Detected For The PWM
P1194,pontiac,Incorrect Or Irrational Performance Has Been Detected For The PWM
P1195,,SCP HBCC Failed To Initialize
P1195,dodge,O2 Sensor 1/1 Bank 1 Sensor 1 Slow During Catalyst Monitor
P1195,jaguar,O2 Sensor Heater Circuit Low Resistance Fault 1
P1195,jeep,O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1195,kia,EGR Boost Or Pressure Sensor Circuit Fault
P1195,mazda,EGR Boost Sensor Circuit
P1195,plymouth,O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1195,pontiac,O2 Sensor 1/1 (Bank 1 Sensor 1) Slow During Catalyst Monitor
P1196,,Key Off Voltage High
P1196,dodge,O2 Sensor 2/1 Bank 2 Sensor 1 Slow During Catalyst Monitor
P1196,jaguar,O2 Sensor Heater Circuit Low Resistance Fault 2
P1196,jeep,O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196,kia,Ignition Switch Start Circuit Fault
P1196,mazda,Ignition Switch Start Circuit
P1196,plymouth,O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196,pontiac,O2 Sensor 2/1 (Bank 2 Sensor 1) Slow During Catalyst Monitor
P1196,volkswagen,Oxygen Sensor Heater Circuit Bank 1 Sensor 1 Electrical Malfunction
P1197,,Key Off Voltage Low
P1197,dodge,O2 Sensor 1/2 Bank 1 Sensor 2 Slow During Catalyst Monitor
P1197,jeep,O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197,mazda,Mileage Switch Circuit
P1197,plymouth,O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197,pontiac,O2 Sensor 1/2 (Bank 1 Sensor 2) Slow During Catalyst Monitor
P1197,volkswagen,Oxygen Sensor Heater Circuit Bank 2 Sensor 1 Electrical Malfunction
P1198,,Pump Rotor Control Underfueling
P1198,dodge,Radiator Temperature Sensor Voltage Too High
P1198,jaguar,Fuel Level Input Circuit High
P1198,jeep,Radiator Temperature Sensor Voltage Too High
P1198,plymouth,Radiator Temperature Sensor Voltage Too High
P1198,pontiac,Radiator Temperature Sensor Voltage Too High
P1198,volkswagen,Oxygen Sensor Heater Circuit Bank 1 Sensor 2 Electrical Malfunction
P1199,,Fuel Level Input Circuit Low
P1199,dodge,Radiator Temperature Sensor Voltage Too Low
P1199,jeep,Radiator Temperature Sensor Voltage Too Low
P1199,plymouth,Radiator Temperature Sensor Voltage Too Low
P1199,pontiac,Radiator Temperature Sensor Voltage Too Low
P1199,volkswagen,Oxygen Sensor Heater Circuit Bank 2 Sensor 2 Electrical Malfunction
P1200,,Injector Control Circuit
P1200,lexus,Fuel Pump Relay ECU Circuit Malfunction
P1200,toyota,Fuel Pump Relay Circuit
P1201,,Injector Circuit Open / Shorted - Cylinder #1
P1201,acura,Cylinder 1 Misfire
P1201,buick,(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201,cadillac,(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201,chevy,(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201,chrysler,(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance
P1201,gm,Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201,gmc,Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201,honda,Cylinder 1 Misfire
P1201,infiniti,Cylinder 1 Misfire
P1201,jaguar,Cylinder 1 Injector Circuit Open/Shorted
P1201,oldsmobile,Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201,saturn,Alternative Fuel Gas Mass Sensor Circuit Range Performance
P1201,volkswagen,Cylinder 1 Fuel Injector Circuit Electrical Malfunction
P1202,,Injector Circuit Open / Shorted - Cylinder #2
P1202,acura,Cylinder 2 Misfire
P1202,buick,(AlternativeFuel) Gas Mass Sensor Circuit Low Frequency
P1202,cadillac,(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202,chevy,(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202,chrysler,(Alternative Fuel) Gas Mass Sensor Circuit Low Frequency
P1202,gm,Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202,gmc,Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202,honda,Cylinder 2 Misfire
P1202,infiniti,Cylinder 2 Misfire
P1202,jaguar,Cylinder 2 Injector Circuit Open/Shorted
P1202,oldsmobile,Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202,saturn,Alternative Fuel Gas Mass Sensor Circuit Low Frequency
P1202,volkswagen,Cylinder 2 Fuel Injector Circuit Electrical Malfunction
P1203,,Injector Circuit Open / Shorted - Cylinder #3
P1203,acura,Cylinder 3 Misfire
P1203,buick,(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203,cadillac,(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203,chevy,(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203,chrysler,(Alternative Fuel) Gas Mass Sensor Circuit High Frequency
P1203,gm,Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203,gmc,Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203,honda,Cylinder 3 Misfire
P1203,infiniti,Cylinder 3 Misfire
P1203,jaguar,Cylinder 3 Injector Circuit Open/Shorted
P1203,oldsmobile,Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203,saturn,Alternative Fuel Gas Mass Sensor Circuit High Frequency
P1203,volkswagen,Cylinder 3 Fuel Injector Circuit Electrical Malfunction
P1204,,Injector Circuit Open / Shorted - Cylinder #4
P1204,acura,Cylinder 4 Misfire
P1204,honda,Cylinder 4 Misfire
P1204,infiniti,Cylinder 4 Misfire
P1204,jaguar,Cylinder 4 Injector Circuit Open/Shorted
P1204,volkswagen,Cylinder 4 Fuel Injector Circuit Electrical Malfunction
P1205,,Injector Circuit Open / Shorted - Cylinder #5
P1205,acura,Cylinder 5 Misfire
P1205,honda,Cylinder 5 Misfire
P1205,infiniti,Cylinder 5 Misfire
P1205,jaguar,Cylinder 5 Injector Circuit Open/Shorted
P1205,volkswagen,Cylinder 5 Fuel Injector Circuit Electrical Malfunction
P1206,,Injector Circuit Open / Shorted - Cylinder #6
P1206,acura,Cylinder 6 Misfire
P1206,honda,Cylinder 6 Misfire
P1206,infiniti,Cylinder 6 Misfire
P1206,jaguar,Cylinder 6 Injector Circuit Open/Shorted
P1206,volkswagen,Cylinder 6 Fuel Injector Circuit Electrical Malfunction
P1207,jaguar,Cylinder 7 Injector Circuit Open/Shorted
P1207,volkswagen,Cylinder 7 Fuel Injector Circuit Electrical Malfunction
P1208,jaguar,Cylinder 8 Injector Circuit Open/Shorted
P1208,volkswagen,Cylinder 8 Fuel Injector Circuit Electrical Malfunction
P1209,,Injector Control Pressure System Fault
P1209,volkswagen,Intake Valves For Cylinder Shut-Off Short Circuit To Ground
P1210,,Injector Control Pressure Above Expected Level
P1210,nissan,Traction Control System Signal Fault
P1210,volkswagen,Intake Valves For Cylinder Shut-Off Short To B+
P1211,,Injector Control Pressure Sensor Above / Below Desired
P1211,buick,Mass Air Flow Circuit Intermittent High
P1211,cadillac,Mass Air Flow Circuit Intermittent High
P1211,chevy,Mass Air Flow Circuit Intermittent High
P1211,chrysler,Mass Air Flow Circuit Intermittent High
P1211,ford,Injector Control Pressure Sensor Above Below Desired
P1211,gm,Mass Air Flow Circuit Intermittent High
P1211,gmc,Mass Air Flow Circuit Intermittent High
P1211,lincoln,Injector Control Pressure Sensor Above Below Desired
P1211,mercury,Injector Control Pressure Sensor Above Below Desired
P1211,nissan,ABS TCS Control Unit
P1211,oldsmobile,Mass Air Flow Circuit Intermittent High
P1211,saturn,Mass Air Flow Circuit Intermittent High
P1211,volkswagen,Intake Valves For Cylinder Shut-Off Open Circuit
P1212,,Injector Control Pressure Not Detected During Crank
P1212,buick,Mass Air Flow Circuit Intermittent Low
P1212,cadillac,Mass Air Flow Circuit Intermittent Low
P1212,chevy,Mass Air Flow Circuit Intermittent Low
P1212,chrysler,Mass Air Flow Circuit Intermittent Low
P1212,gm,Mass Air Flow Circuit Intermittent Low
P1212,gmc,Mass Air Flow Circuit Intermittent Low
P1212,nissan,ABS TCS Communication Line
P1212,oldsmobile,Mass Air Flow Circuit Intermittent Low
P1212,saturn,Mass Air Flow Circuit Intermittent Low
P1213,,Start Injector Circuit Malfunction
P1213,kia,Fuel Injector 1 Circuit High Voltage
P1213,mazda,Start Injector Circuit
P1213,volkswagen,Cylinder 1 Fuel Injector Circuit Short To B+
P1214,,Pedal Position Sensor B Circuit Intermittent
P1214,buick,Injection Pump Timing Offset
P1214,cadillac,Injection Pump Timing Offset
P1214,chevy,Injection Pump Timing Offset
P1214,chrysler,Injection Pump Timing Offset
P1214,gm,Injection Pump Timing Offset
P1214,gmc,Injection Pump Timing Offset
P1214,kia,Fuel Injector 2 Circuit High Voltage
P1214,oldsmobile,Injection Pump Timing Offset
P1214,saturn,Injection Pump Timing Offset
P1214,volkswagen,Cylinder 2 Fuel Injector Circuit Short To B+
P1215,,Pedal Position Sensor C Circuit Low Input
P1215,buick,Ground Fault Detection Indicated
P1215,cadillac,Ground Fault Detection Indicated
P1215,chevy,Ground Fault Detection Indicated
P1215,chrysler,Ground Fault Detection Indicated
P1215,gm,Ground Fault Detection Indicated
P1215,gmc,Ground Fault Detection Indicated
P1215,kia,Fuel Injector 3 Circuit High Voltage
P1215,oldsmobile,Ground Fault Detection Indicated
P1215,saturn,Ground Fault Detection Indicated
P1215,volkswagen,Cylinder 3 Fuel Injector Circuit Short To B+
P1216,,Pedal Position Sensor C Circuit High Input
P1216,buick,Fuel Solenoid Response Time Too Short
P1216,cadillac,Fuel Solenoid Response Time Too Short
P1216,chevy,Fuel Solenoid Response Time Too Short
P1216,chrysler,Fuel Solenoid Response Time Too Short
P1216,gm,Fuel Solenoid Response Time Too Short
P1216,gmc,Fuel Solenoid Response Time Too Short
P1216,kia,Fuel Injector 4 Circuit High Voltage
P1216,oldsmobile,Fuel Solenoid Response Time Too Short
P1216,saturn,Fuel Solenoid Response Time Too Short
P1216,volkswagen,Cylinder 4 Fuel Injector Circuit Short To B+
P1217,,Pedal Position Sensor C Circuit Intermittent
P1217,buick,Fuel Solenoid Response Time Too Long
P1217,cadillac,Fuel Solenoid Response Time Too Long
P1217,chevy,Fuel Solenoid Response Time Too Long
P1217,chrysler,Fuel Solenoid Response Time Too Long
P1217,gm,Fuel Solenoid Response Time Too Long
P1217,gmc,Fuel Solenoid Response Time Too Long
P1217,nissan,Engine Over Temperature Overheat
P1217,oldsmobile,Fuel Solenoid Response Time Too Long
P1217,saturn,Fuel Solenoid Response Time Too Long
P1217,volkswagen,Cylinder 5 Fuel Injector Circuit Short To B+
P1218,,CID High
P1218,buick,Injection Pump Calibration Circuit
P1218,cadillac,Injection Pump Calibration Circuit
P1218,chevy,Injection Pump Calibration Circuit
P1218,chrysler,Injection Pump Calibration Circuit
P1218,gm,Injection Pump Calibration Circuit
P1218,gmc,Injection Pump Calibration Circuit
P1218,oldsmobile,Injection Pump Calibration Circuit
P1218,saturn,Injection Pump Calibration Circuit
P1218,volkswagen,Cylinder 6 Fuel Injector Circuit Short To B+
P1219,,CID Low
P1219,buick,Throttle Position Sensor Refernce Voltage
P1219,cadillac,Throttle Position Sensor Reference Voltage
P1219,chevy,Throttle Position Sensor Reference Voltage
P1219,chrysler,Throttle Position Sensor Reference Voltage
P1219,gm,Throttle Position Sensor Reference Voltage
P1219,gmc,Throttle Position Sensor Reference Voltage
P1219,oldsmobile,Throttle Position Sensor Reference Voltage
P1219,saturn,Throttle Position Sensor Refernce Voltage
P1219,volkswagen,Cylinder 7 Fuel Injector Circuit Short To B+
P1220,,Series Throttle Control System Malfunction
P1220,buick,Throttle Position (TP) Sensor 2 Circuit
P1220,cadillac,Throttle Position (TP) Sensor 2 Circuit
P1220,chevy,Throttle Position (TP) Sensor 2 Circuit
P1220,chrysler,Throttle Position (TP) Sensor 2 Circuit
P1220,ford,Series Throttle Control Fault
P1220,gm,Throttle Position (TP) Sensor 2 Circuit
P1220,gmc,Throttle Position (TP) Sensor 2 Circuit
P1220,lincoln,Series Throttle Control Fault
P1220,mercedes,Fuel Quantity Actuator Y231
P1220,mercury,Series Throttle Control Fault
P1220,nissan,Fuel Pump Control Signal Fault
P1220,oldsmobile,Throttle Position TP Sensor 2 Circuit
P1220,saturn,Throttle Position TP Sensor 2 Circuit
P1220,volkswagen,Cylinder 8 Fuel Injector Circuit Short To B+
P1221,,Traction Control System Malfunction
P1221,bmw,Pedal Position Sensor 2 Range Performance Problem
P1221,buick,Throttle Position (TP) Sensor 1- 2 Correlation
P1221,cadillac,Throttle Position (TP) Sensor 1-2 Correlation
P1221,chevy,Throttle Position (TP) Sensor 1-2 Correlation
P1221,chrysler,Throttle Position (TP) Sensor 1-2 Correlation
P1221,gm,Throttle Position (TP) Sensor 1 2 Correlation
P1221,gmc,Throttle Position (TP) Sensor 1 2 Correlation
P1221,jaguar,Pedal Demand Sensor B Circuit Range Performance
P1221,mazda,Traction Control System
P1221,mercedes,CAN Communication ETC Or ETS Interrupted
P1221,oldsmobile,Throttle Position TP Sensor 1-2 Correlation
P1221,saturn,Throttle Position TP Sensor 1-2 Correlation
P1222,,Traction Control Output Circuit Malfunction
P1222,bmw,Pedal Position Sensor 2 Low Input
P1222,buick,Injector Control Circuit Intermittent
P1222,cadillac,Injector Control Circuit Intermittent
P1222,chevy,Injector Control Circuit Intermittent
P1222,chrysler,Injector Control Circuit Intermittent
P1222,gm,Injector Control Circuit Intermittent
P1222,gmc,Injector Control Circuit Intermittent
P1222,mazda,Traction Control Output Circuit
P1222,mercedes,IFI Accelerator Pedal Position Sensor R252
P1222,oldsmobile,Injector Control Circuit Intermittent
P1222,saturn,Injector Control Circuit Intermittent
P1223,,Pedal Demand Sensor B Circuit High Input
P1223,bmw,Pedal Position Sensor 2 High Input
P1223,mercedes,Fuel Rack Position Sensor Y2311
P1224,,Throttle Position Sensor B Out Of Self Test Range
P1224,ford,Throttle Position Sensor B Out of Self-Test Range
P1224,jaguar,Electronic Throttle Control Position Error
P1224,lincoln,Throttle Position Sensor B Out of Self-Test Range
P1224,mercury,Throttle Position Sensor B Out of Self-Test Range
P1225,,Needle Lift Sensor Malfunction
P1225,buick,Injector Circuit Cylinder 2 Intermittent
P1225,cadillac,Injector Circuit Cylinder 2 Intermittent
P1225,chevy,Injector Circuit Cylinder 2 Intermittent
P1225,chrysler,Injector Circuit Cylinder 2 Intermittent
P1225,gm,Injector Circuit Cylinder 2 Intermittent
P1225,gmc,Injector Circuit Cylinder 2 Intermittent
P1225,kia,Fuel Injector 1 Circuit Low Voltage
P1225,oldsmobile,Injector Circuit Cylinder 2 Intermittent
P1225,saturn,Injector Circuit Cylinder 2 Intermittent
P1225,volkswagen,Cylinder 1 Injector Circuit Short To Ground
P1226,,Control Sleeve Sensor Malfunction
P1226,jaguar,Mechanical Guard Circuit Range Performance
P1226,kia,Fuel Injector 2 Circuit Low Voltage
P1226,mazda,Control Sleeve Sensor Circuit
P1226,volkswagen,Cylinder 2 Injector Circuit Short To Ground
P1227,,Wastegate Failed Closed (Over Pressure)
P1227,ford,Wastegate Failed Closed Over Pressure
P1227,jaguar,Mechanical Guard Circuit Low Input
P1227,kia,Fuel Injector 3 Circuit Low Voltage
P1227,lincoln,Wastegate Failed Closed Over Pressure
P1227,mercury,Wastegate Failed Closed Over Pressure
P1227,volkswagen,Cylinder 3 Injector Circuit Short To Ground
P1228,,Wastegate Failed Open (Under Pressure)
P1228,buick,Injector Circuit Cylinder 3 Intermittent
P1228,cadillac,Injector Circuit Cylinder 3 Intermittent
P1228,chevy,Injector Circuit Cylinder 3 Intermittent
P1228,chrysler,Injector Circuit Cylinder 3 Intermittent
P1228,ford,Wastegate Failed Open Under Pressure
P1228,gm,Injector Circuit Cylinder 3 Intermittent
P1228,gmc,Injector Circuit Cylinder 3 Intermittent
P1228,jaguar,Mechanical Guard Circuit High Input
P1228,kia,Fuel Injector 4 Circuit Low Voltage
P1228,lincoln,Wastegate Failed Open Under Pressure
P1228,mercury,Wastegate Failed Open Under Pressure
P1228,oldsmobile,Injector Circuit Cylinder 3 Intermittent
P1228,saturn,Injector Circuit Cylinder 3 Intermittent
P1228,volkswagen,Cylinder 4 Injector Circuit Short To Ground
P1229,,Intercooler Pump Driver Fault
P1229,jaguar,Electronic Throttle Control Circuit
P1229,volkswagen,Cylinder 5 Injector Circuit Short To Ground
P1230,,Fuel Pump Low Speed Malfunction
P1230,ford,Open Power to Fuel Pump Circuit
P1230,jaguar,Fuel Pump Relay
P1230,lincoln,Open Power to Fuel Pump Circuit
P1230,mercury,Open Power to Fuel Pump Circuit
P1230,subaru,Fuel Pump Control Unit Malfunction
P1230,volkswagen,Cylinder 6 Injector Circuit Short To Ground
P1231,,Fuel Pump Secondary Circuit Low, High Speed
P1231,buick,Injector Circuit Cylinder 4 Intermittent
P1231,cadillac,Injector Circuit Cylinder 4 Intermittent
P1231,chevy,Injector Circuit Cylinder 4 Intermittent
P1231,chrysler,Injector Circuit Cylinder 4 Intermittent
P1231,ford,High Speed Fuel Pump Relay Activated
P1231,gm,Injector Circuit Cylinder 4 Intermittent
P1231,gmc,Injector Circuit Cylinder 4 Intermittent
P1231,lincoln,High Speed Fuel Pump Relay Activated
P1231,mercury,High Speed Fuel Pump Relay Activated
P1231,oldsmobile,Injector Circuit Cylinder 4 Intermittent
P1231,saturn,Injector Circuit Cylinder 4 Intermittent
P1231,volkswagen,Cylinder 7 Injector Circuit Short To Ground
P1232,,Fuel Pump Speed Primary Circuit Malfunction
P1232,ford,Low Speed Fuel Pump Primary Circuit Failure
P1232,lincoln,Low Speed Fuel Pump Primary Circuit Failure
P1232,mercury,Low Speed Fuel Pump Primary Circuit Failure
P1232,volkswagen,Cylinder 8 Injector Circuit Short To Ground
P1233,,Fuel Pump Driver Module Off Line
P1233,ford,Fuel Pump Driver Module Off-Line
P1233,lincoln,Fuel Pump Driver Module Off-Line
P1233,mercury,Fuel Pump Driver Module Off-Line
P1234,,Fuel Pump Driver Module Off Line
P1234,buick,Injector Circuit Cylinder 5 Intermittent
P1234,cadillac,Injector Circuit Cylinder 5 Intermittent
P1234,chevy,Injector Circuit Cylinder 5 Intermittent
P1234,chrysler,Injector Circuit Cylinder 5 Intermittent
P1234,ford,Fuel Pump Driver Module Off-Line
P1234,gm,Injector Circuit Cylinder 5 Intermittent
P1234,gmc,Injector Circuit Cylinder 5 Intermittent
P1234,lincoln,Fuel Pump Driver Module Off-Line
P1234,mercury,Fuel Pump Driver Module Off-Line
P1234,oldsmobile,Injector Circuit Cylinder 5 Intermittent
P1234,saturn,Injector Circuit Cylinder 5 Intermittent
P1235,,Fuel Pump Control Out Of Range
P1235,jaguar,VSV 1/2/3 Circuit Range Performance
P1235,mazda,Fuel Pump Control Circuit
P1236,,Fuel Pump Control Out Of Range
P1236,jaguar,VSV 1 Circuit
P1236,mazda,Fuel Pump Control Out Range
P1237,,Fuel Pump Secondary Circuit Malfunction
P1237,buick,Injector Circuit Cylinder 6 Intermittent
P1237,cadillac,Injector Circuit Cylinder 6 Intermittent
P1237,chevy,Injector Circuit Cylinder 6 Intermittent
P1237,chrysler,Injector Circuit Cylinder 6 Intermittent
P1237,ford,Fuel Pump Secondary Circuit Fault
P1237,gm,Injector Circuit Cylinder 6 Intermittent
P1237,gmc,Injector Circuit Cylinder 6 Intermittent
P1237,jaguar,VSV 2 Circuit
P1237,lincoln,Fuel Pump Secondary Circuit Fault
P1237,mercury,Fuel Pump Secondary Circuit Fault
P1237,oldsmobile,Injector Circuit Cylinder 6 Intermittent
P1237,saturn,Injector Circuit Cylinder 6 Intermittent
P1237,volkswagen,Cylinder 1 Injector Circuit Open Circuit
P1238,,Fuel Pump Secondary Circuit Malfunction
P1238,ford,Fuel Pump Secondary Circuit Fault
P1238,jaguar,VSV 3 Circuit
P1238,lincoln,Fuel Pump Secondary Circuit Fault
P1238,mercury,Fuel Pump Secondary Circuit Fault
P1238,volkswagen,Cylinder 2 Injector Circuit Open Circuit
P1239,,Speed Fuel Pump Positive Feed Fault
P1239,volkswagen,Cylinder 3 Injector Circuit Open Circuit
